id,n_items,total_weight,n_even,n_odd,even_ratio,pattern_eoe,pattern_oeo,pattern_eee,pattern_ooo,opt_bins,waste_pct,solve_time_ms
130,14,501,5,9,0.35714285714285715,0,1,0,1,6,16.5,0.013113021850585938
131,14,623,9,5,0.6428571428571429,1,1,1,0,7,11.0,0.014066696166992188
132,12,559,7,5,0.5833333333333334,0,1,1,1,7,20.142857142857142,0.014066696166992188
133,13,385,8,5,0.6153846153846154,0,0,1,1,4,3.75,0.010013580322265625
134,13,634,7,6,0.5384615384615384,1,1,1,0,7,9.428571428571429,0.011920928955078125
135,13,545,6,7,0.46153846153846156,1,1,0,1,6,9.166666666666666,0.010967254638671875
136,13,539,6,7,0.46153846153846156,1,1,0,0,6,10.166666666666666,0.011205673217773438
137,13,540,7,6,0.5384615384615384,1,1,1,1,6,10.0,0.012874603271484375
138,10,353,5,5,0.5,0,0,1,1,4,11.75,0.010967254638671875
139,14,565,5,9,0.35714285714285715,1,1,0,1,7,19.28571428571429,0.013828277587890625
140,11,343,6,5,0.5454545454545454,1,0,1,0,4,14.249999999999998,0.007867813110351562
141,12,404,6,6,0.5,0,1,1,0,5,19.2,0.010967254638671875
142,14,537,9,5,0.6428571428571429,1,1,1,1,6,10.5,0.012874603271484375
143,14,603,7,7,0.5,1,1,1,1,7,13.857142857142858,0.015974044799804688
144,13,501,6,7,0.46153846153846156,1,1,0,1,6,16.5,0.017881393432617188
145,10,403,5,5,0.5,1,1,0,0,5,19.400000000000002,0.019788742065429688
146,14,632,8,6,0.5714285714285714,1,1,1,0,7,9.714285714285714,0.014781951904296875
147,14,604,8,6,0.5714285714285714,1,1,1,0,7,13.714285714285715,0.012874603271484375
148,10,389,5,5,0.5,0,0,1,0,5,22.2,0.007867813110351562
149,10,369,1,9,0.1,0,1,0,1,4,7.75,0.010013580322265625
150,11,428,3,8,0.2727272727272727,0,1,0,1,5,14.399999999999999,0.009059906005859375
151,15,631,10,5,0.6666666666666666,1,1,1,0,7,9.857142857142858,0.012874603271484375
152,11,445,8,3,0.7272727272727273,1,1,1,0,5,11.0,0.009059906005859375
153,12,600,4,8,0.3333333333333333,0,1,0,1,7,14.285714285714285,0.010967254638671875
154,14,592,6,8,0.42857142857142855,1,1,1,1,7,15.428571428571427,0.0171661376953125
155,12,420,6,6,0.5,1,1,1,1,5,16.0,0.010967254638671875
156,10,331,3,7,0.3,0,1,0,1,4,17.25,0.007152557373046875
157,12,500,8,4,0.6666666666666666,1,0,1,1,6,16.666666666666664,0.014066696166992188
158,14,506,6,8,0.42857142857142855,1,1,0,1,6,15.666666666666668,0.010967254638671875
159,14,485,5,9,0.35714285714285715,1,1,0,1,5,3.0,0.03504753112792969
160,13,435,8,5,0.6153846153846154,1,1,1,0,5,13.0,0.023126602172851562
161,10,341,5,5,0.5,1,1,0,0,4,14.75,0.01430511474609375
162,14,591,5,9,0.35714285714285715,0,1,1,1,6,1.5,0.022172927856445312
163,10,428,6,4,0.6,1,1,1,0,5,14.399999999999999,0.019311904907226562
164,10,432,4,6,0.4,0,1,0,1,5,13.600000000000001,0.01811981201171875
165,12,434,2,10,0.16666666666666666,0,1,0,1,5,13.200000000000001,0.016689300537109375
166,12,430,6,6,0.5,1,1,0,0,5,14.000000000000002,0.017881393432617188
167,11,481,6,5,0.5454545454545454,1,1,0,0,6,19.833333333333332,0.024080276489257812
168,11,408,7,4,0.6363636363636364,1,0,1,1,5,18.4,0.014066696166992188
169,15,741,8,7,0.5333333333333333,0,1,1,0,8,7.375,0.02384185791015625
170,15,493,10,5,0.6666666666666666,1,0,1,1,5,1.4000000000000001,0.023126602172851562
171,12,435,5,7,0.4166666666666667,1,1,0,1,5,13.0,0.0209808349609375
172,14,664,8,6,0.5714285714285714,1,1,1,0,8,17.0,0.02193450927734375
173,15,560,7,8,0.4666666666666667,1,1,1,1,6,6.666666666666667,0.03910064697265625
174,14,529,5,9,0.35714285714285715,0,0,0,1,6,11.833333333333334,0.024080276489257812
175,12,480,6,6,0.5,0,1,1,1,5,4.0,0.013113021850585938
176,12,555,9,3,0.75,1,0,1,0,6,7.5,0.011920928955078125
177,11,450,5,6,0.45454545454545453,0,1,1,1,5,10.0,0.011920928955078125
178,13,536,7,6,0.5384615384615384,1,1,1,0,6,10.666666666666668,0.009775161743164062
179,15,682,5,10,0.3333333333333333,1,1,0,1,8,14.75,0.018835067749023438
180,12,412,6,6,0.5,1,1,0,1,5,17.599999999999998,0.010013580322265625
181,12,578,8,4,0.6666666666666666,1,1,1,0,8,27.750000000000004,0.012874603271484375
182,12,510,6,6,0.5,1,1,0,1,6,15.0,0.01430511474609375
183,14,572,8,6,0.5714285714285714,1,1,1,0,6,4.666666666666667,0.015020370483398438
184,15,689,8,7,0.5333333333333333,1,0,1,1,8,13.875000000000002,0.01430511474609375
185,14,591,9,5,0.6428571428571429,1,1,1,1,7,15.571428571428573,0.014781951904296875
186,11,478,3,8,0.2727272727272727,1,1,0,1,5,4.3999999999999995,0.009059906005859375
187,14,510,6,8,0.42857142857142855,1,1,1,1,6,15.0,0.011920928955078125
188,11,437,6,5,0.5454545454545454,0,1,1,0,5,12.6,0.010251998901367188
189,11,401,4,7,0.36363636363636365,1,1,1,1,5,19.8,0.009059906005859375
190,12,501,9,3,0.75,1,0,1,0,6,16.5,0.015020370483398438
191,15,580,7,8,0.4666666666666667,1,1,1,1,6,3.3333333333333335,0.014066696166992188
192,14,484,4,10,0.2857142857142857,1,1,0,1,5,3.2,0.011920928955078125
193,10,429,5,5,0.5,0,0,1,1,5,14.2,0.009059906005859375
194,11,358,5,6,0.45454545454545453,1,1,1,1,4,10.5,0.009059906005859375
195,15,583,8,7,0.5333333333333333,1,1,1,0,6,2.833333333333333,0.014066696166992188
196,10,349,7,3,0.7,1,0,1,0,4,12.75,0.009059906005859375
197,11,456,7,4,0.6363636363636364,1,1,1,0,6,24.0,0.012874603271484375
198,12,567,5,7,0.4166666666666667,1,1,1,1,7,19.0,0.014066696166992188
199,11,390,7,4,0.6363636363636364,0,0,1,1,4,2.5,0.010967254638671875
200,11,455,8,3,0.7272727272727273,1,1,1,0,5,9.0,0.010013580322265625
201,10,444,4,6,0.4,0,1,1,1,6,26.0,0.013113021850585938
202,12,503,3,9,0.25,0,1,0,1,6,16.166666666666664,0.010967254638671875
203,11,501,2,9,0.18181818181818182,0,0,0,1,6,16.5,0.010967254638671875
204,13,426,9,4,0.6923076923076923,1,1,1,0,5,14.799999999999999,0.010013580322265625
205,12,493,9,3,0.75,1,1,1,0,6,17.833333333333336,0.011920928955078125
206,12,490,6,6,0.5,0,1,1,1,5,2.0,0.010013580322265625
207,14,584,8,6,0.5714285714285714,1,1,1,1,8,27.0,0.0209808349609375
208,10,411,5,5,0.5,0,0,1,1,5,17.8,0.009298324584960938
209,11,444,7,4,0.6363636363636364,1,1,0,0,5,11.200000000000001,0.009775161743164062
210,12,392,2,10,0.16666666666666666,0,0,0,1,5,21.6,0.008344650268554688
211,14,523,7,7,0.5,1,1,1,0,6,12.833333333333332,0.013828277587890625
212,11,490,5,6,0.45454545454545453,0,0,0,1,6,18.333333333333332,0.012159347534179688
213,12,505,7,5,0.5833333333333334,1,1,1,0,6,15.833333333333332,0.010013580322265625
214,15,596,9,6,0.6,1,1,1,1,7,14.857142857142858,0.01621246337890625
215,10,435,3,7,0.3,0,1,0,1,5,13.0,0.007867813110351562
216,10,403,5,5,0.5,0,1,1,0,5,19.400000000000002,0.008106231689453125
217,14,538,8,6,0.5714285714285714,0,0,1,1,6,10.333333333333334,0.012159347534179688
218,14,562,4,10,0.2857142857142857,0,1,0,1,6,6.333333333333334,0.013113021850585938
219,12,528,8,4,0.6666666666666666,0,0,1,1,6,12.0,0.010013580322265625
220,10,360,6,4,0.6,0,1,1,0,4,10.0,0.007867813110351562
221,10,417,5,5,0.5,0,0,1,1,5,16.6,0.007152557373046875
222,15,681,6,9,0.4,0,1,0,1,9,24.333333333333336,0.022172927856445312
223,14,580,8,6,0.5714285714285714,1,0,1,0,6,3.3333333333333335,0.011920928955078125
224,15,547,6,9,0.4,1,1,0,1,6,8.833333333333334,0.015020370483398438
225,13,528,5,8,0.38461538461538464,1,1,0,0,6,12.0,0.014066696166992188
226,11,370,5,6,0.45454545454545453,1,1,0,1,4,7.5,0.009059906005859375
227,11,420,5,6,0.45454545454545453,0,1,1,1,5,16.0,0.009059906005859375
228,11,476,9,2,0.8181818181818182,1,0,1,0,5,4.8,0.009775161743164062
229,13,484,3,10,0.23076923076923078,1,1,0,1,5,3.2,0.011205673217773438
230,12,488,6,6,0.5,1,0,1,1,6,18.666666666666668,0.008821487426757812
231,10,409,7,3,0.7,0,0,1,1,5,18.2,0.008344650268554688
232,12,369,7,5,0.5833333333333334,1,1,1,0,4,7.75,0.008821487426757812
233,13,522,5,8,0.38461538461538464,1,1,1,1,6,13.0,0.010967254638671875
234,12,438,8,4,0.6666666666666666,1,1,1,0,5,12.4,0.010728836059570312
235,10,421,3,7,0.3,1,1,0,1,5,15.8,0.007867813110351562
236,14,569,5,9,0.35714285714285715,1,1,0,1,6,5.166666666666667,0.012874603271484375
237,14,545,5,9,0.35714285714285715,1,0,0,1,6,9.166666666666666,0.012874603271484375
238,12,588,8,4,0.6666666666666666,1,0,1,0,8,26.5,0.014781951904296875
239,14,600,8,6,0.5714285714285714,1,1,1,0,7,14.285714285714285,0.010967254638671875
240,11,410,7,4,0.6363636363636364,1,1,1,0,5,18.0,0.007867813110351562
