id,n_items,total_weight,opt_bins,waste_abs,waste_pct,n_items_is_prime,total_weight_is_prime,total_weight_is_pow2,prime_elem_count,pow2_elem_count
779,19,641,7,59,8.428571428571429,1,1,0,3,1
780,16,696,8,104,13.0,0,0,0,0,0
781,12,502,6,98,16.333333333333332,0,0,0,4,1
782,10,406,5,94,18.8,0,0,0,5,2
783,15,632,7,68,9.714285714285714,0,0,0,5,2
784,15,601,7,99,14.142857142857142,0,1,0,1,2
785,13,469,5,31,6.2,1,0,0,6,0
786,12,421,5,79,15.8,0,1,0,4,0
787,13,463,5,37,7.3999999999999995,1,1,0,4,0
788,18,728,8,72,9.0,0,0,0,5,2
789,17,771,8,29,3.6249999999999996,1,0,0,7,0
790,14,576,6,24,4.0,0,0,0,5,0
791,19,735,8,65,8.125,1,0,0,6,1
792,15,698,8,102,12.75,0,0,0,3,1
793,16,648,7,52,7.428571428571429,0,0,0,4,1
794,13,543,6,57,9.5,1,0,0,3,0
795,18,597,7,103,14.714285714285714,0,0,0,8,0
796,10,405,5,95,19.0,0,0,0,4,1
797,16,519,6,81,13.5,0,0,0,4,2
798,13,434,5,66,13.200000000000001,1,0,0,6,0
799,16,743,9,157,17.444444444444446,0,1,0,5,2
800,10,356,4,44,11.0,0,0,0,2,1
801,12,351,4,49,12.25,0,0,0,6,1
802,10,421,5,79,15.8,0,1,0,2,1
803,17,618,7,82,11.714285714285715,1,0,0,4,1
804,19,745,8,55,6.875000000000001,1,0,0,4,0
805,15,638,8,162,20.25,0,0,0,1,0
806,13,525,6,75,12.5,1,0,0,4,1
807,10,379,4,21,5.25,0,1,0,4,0
808,15,702,8,98,12.25,0,0,0,4,0
809,10,417,5,83,16.6,0,0,0,4,0
810,11,513,6,87,14.499999999999998,1,0,0,3,0
811,19,765,8,35,4.375,1,0,0,7,0
812,18,883,11,217,19.727272727272727,0,1,0,2,2
813,10,401,5,99,19.8,0,1,0,3,1
814,17,673,7,27,3.8571428571428568,1,1,0,2,1
815,16,660,7,40,5.714285714285714,0,0,0,3,2
816,18,694,7,6,0.8571428571428572,0,0,0,6,2
817,17,676,7,24,3.428571428571429,1,0,0,4,3
