id,n_items,total_weight,avg_size,std_size,skew_size,theo_min,opt_bins,waste_pct,solve_time_ms
246,14,539,38.5,18.67845323854776,0.2041372212718661,6,6,10.166666666666666,0.012874603271484375
247,13,547,42.07692307692308,15.97634469281349,0.13450053236211412,6,6,8.833333333333334,0.010013580322265625
248,11,418,38,18.077610461562667,0.042563410422461805,5,5,16.400000000000002,0.008106231689453125
249,15,505,33.666666666666664,18.96864580853161,0.3770092960132852,6,6,15.833333333333332,0.012874603271484375
250,13,600,46.15384615384615,16.071953593377884,-0.02180253543718708,6,7,14.285714285714285,0.015020370483398438
251,10,484,48.4,17.04373459335978,-0.7730923042003429,5,6,19.333333333333332,0.010967254638671875
252,10,492,49.2,23.74306916414416,-0.47490012718238134,5,6,18.0,0.010013580322265625
253,13,573,44.07692307692308,21.99038251320161,-0.25763518304169825,6,7,18.142857142857142,0.018835067749023438
254,14,622,44.42857142857143,17.878712248043808,0.010826385479414813,7,7,11.142857142857142,0.015020370483398438
255,13,436,33.53846153846154,16.98340064403762,0.363300749295229,5,5,12.8,0.012874603271484375
256,15,683,45.53333333333333,15.54655068158973,-0.2108168136414732,7,8,14.625,0.014066696166992188
257,14,421,30.071428571428573,15.769807011717461,0.9780313024966527,5,5,15.8,0.010013580322265625
258,11,419,38.09090909090909,14.889288401092548,-0.2593741217256433,5,5,16.2,0.010013580322265625
259,12,448,37.333333333333336,17.31700862963312,0.20862828137950393,5,5,10.4,0.010013580322265625
260,15,582,38.8,18.284263335291516,0.3652440808350647,6,7,16.857142857142858,0.010967254638671875
261,13,658,50.61538461538461,10.67347539103721,-0.10848476379496898,7,8,17.75,0.013113021850585938
262,11,506,46,15.433729296576379,-0.6480799105212383,6,6,15.666666666666668,0.009775161743164062
263,15,559,37.266666666666666,19.26309078696009,0.22826098189724467,6,6,6.833333333333333,0.013828277587890625
264,12,505,42.083333333333336,16.940850753206707,-0.22443638892246384,6,6,15.833333333333332,0.010967254638671875
265,13,505,38.84615384615385,15.967916550832767,-0.3476737355244596,6,6,15.833333333333332,0.008821487426757812
266,12,390,32.5,19.3602216365976,0.2193876059356375,4,5,22.0,0.010013580322265625
267,12,460,38.333333333333336,22.592570513871202,0.15044555541930693,5,5,8.0,0.010967254638671875
268,11,502,45.63636363636363,14.793733317001001,-0.2834796436502998,6,6,16.333333333333332,0.011920928955078125
269,13,511,39.30769230769231,17.815651430622342,-0.02010826692064439,6,6,14.833333333333334,0.010967254638671875
270,13,504,38.76923076923077,18.579351648868368,-0.28386367648282856,6,6,16.0,0.010013580322265625
271,13,519,39.92307692307692,17.769175269088596,0.44089522418353205,6,6,13.5,0.010967254638671875
272,10,481,48.1,21.61506676166213,-0.7503909852069632,5,7,31.285714285714285,0.010967254638671875
273,11,385,35,19.82422760159901,0.053558841542480015,4,4,3.75,0.009059906005859375
274,11,428,38.90909090909091,19.20653297945543,-0.06924793363596085,5,5,14.399999999999999,0.011920928955078125
275,11,509,46.27272727272727,14.464376302425965,-0.13226888120165442,6,6,15.166666666666668,0.010013580322265625
276,15,570,38,17.63924196622001,0.498294183915224,6,6,5.0,0.013113021850585938
277,14,656,46.857142857142854,16.90178480724239,-0.44629915852803703,7,8,18.0,0.016927719116210938
278,13,504,38.76923076923077,12.962470483115517,0.18863452239950473,6,6,16.0,0.010967254638671875
